text,label
"Dasar brengsek lo! gak tau diri bgt, pergi aja dari sini!",1
"Org2 kyk lo emang bodo, ga ada gunanya hidup",1
"Wkwk lucu bgt deh, tp gw gak setuju sama pendapat lo soal itu",0
"Mksh udh bantu gw, bgt berasa tertolong nih",0
"Dasar ***** kampret lo! Msh berani ngomong gitu sama gw?",1
"Bkn masalah besar sih, tp kita hrs diskusi dulu dgn semua org",0
"Lo emang ga punya otak! Blm bisa mikir waras apa?",1
"Gue suka bgt sm karya lo, keep up the good work ya!",0
"Tolol bgt si dia, krn emang dari sono nya udh bego",1
"Jgn khawatir, kita pasti bisa selesaikan masalah ini bersama",0
"Pergi sana, gak ada yg suka sm lo di sini",1
"Emang bgt sih situasinya susah, tp kita harus tetap semangat",0
"Lo pikir lo siapa? Dasar manusia ga berguna!",1
"Terima kasih udh mau dengerin cerita gue, berarti bgt buat gue",0
"Suka gak suka, lo hrs terima kenyataan kalau lo emang gagal",1
