slang,formal
gak,tidak
ga,tidak
nggak,tidak
bgt,banget
udah,sudah
udh,sudah
yg,yang
dgn,dengan
tdk,tidak
hrs,harus
blm,belum
krn,karena
karna,karena
bkn,bukan
sdh,sudah
skrg,sekarang
utk,untuk
gmn,bagaimana
gimana,bagaimana
emang,memang
emg,memang
jgn,jangan
tp,tapi
sm,sama
ama,sama
klo,kalau
kl,kalau
kalo,kalau
org,orang
gue,saya
gw,saya
lo,kamu
lu,kamu
elo,kamu
nih,ini
tuh,itu
msh,masih
masi,masih
jd,jadi
lbh,lebih
byk,banyak
trs,terus
abis,habis
bodo,bodoh
gila,gila
gile,gila
wkwk,
haha,
lol,
a,
abisitu, abis itu
